,0-5,0-4,0-3,0-2,0-1,0-0,1-5,1-4,1-3,1-2,1-1,1-0,2-5,2-4,2-3,2-2,2-1,2-0,3-5,3-4,3-3,3-2,3-1,3-0,4-5,4-4,4-3,4-2,4-1,4-0,5-5,5-4,5-3,5-2,5-1,5-0,6-5,6-4,6-3,6-2,6-1,6-0,result
17,-,-,-,-,-,-,-,-,-,-,-,-,O,O,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
18,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,X,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
19,-,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
20,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,win
21,O,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
22,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,draw
58,-,-,-,-,-,-,O,O,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
59,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,loss
60,O,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
61,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,draw
89,O,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
90,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,X,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,loss
110,-,-,-,-,-,-,-,-,-,-,-,-,X,O,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
111,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,O,X,O,O,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
112,-,-,-,-,-,-,O,-,-,-,-,-,X,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
113,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,win
114,O,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
115,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,win
229,-,-,-,-,-,-,X,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
230,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
231,-,-,-,-,-,-,X,O,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
232,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,win
233,O,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
234,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,win
355,X,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
356,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
357,X,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
358,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,loss
359,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
360,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,O,X,O,O,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,draw
449,-,-,-,-,-,-,-,-,-,-,-,-,O,O,-,-,-,-,X,O,X,X,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,loss
450,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,X,O,X,O,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
451,-,-,-,-,-,-,O,-,-,-,-,-,O,-,-,-,-,-,X,O,X,X,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
452,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,X,O,X,-,-,-,-,-,-,O,-,-,-,-,-,-,-,-,-,-,-,win
453,O,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,X,O,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,win
454,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,X,O,X,X,O,X,-,-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,-,-,draw
